Order ID,Order Date,Product Name,Category,Sub-Category,Sales Revenue,Quantity Sold,Profit,Customer Segment,Region,State/City
CA-2023-100960,2022-01-16,Wall Clock Brushed Nickel,Furniture,Furnishings,4440.5,1,888.1,Consumer,West,"Oregon, Portland"
CA-2023-101633,2022-01-16,Heavy Duty Shelving Unit,Office Supplies,Storage,41021.09,8,2279.18,Home Office,East,"Massachusetts, Boston"
CA-2023-102071,2022-01-16,Security Tint Self-Seal Envelopes,Office Supplies,Envelopes,1406.02,1,562.74,Consumer,South,"Tennessee, Nashville"
CA-2022-103501,2022-01-17,Google Pixel 8,Technology,Phones,173491.58,4,26023.82,Consumer,Central,"Texas, Houston"
CA-2024-103585,2022-01-17,Keurig Coffee Maker,Office Supplies,Appliances,27133.53,1,4883.72,Consumer,Central,"Texas, Houston"
CA-2022-105201,2022-01-17,USB-C Hub,Technology,Accessories,55308.71,7,13826.97,Corporate,West,"California, San Francisco"
CA-2023-105805,2022-01-17,Conference Room Table,Furniture,Tables,40811.93,1,-12753.78,Consumer,South,"Florida, Miami"
CA-2024-100095,2022-01-18,Executive Leather Chair,Furniture,Chairs,90432.65,3,10852.25,Corporate,West,"California, San Francisco"
CA-2023-101713,2022-01-18,Samsung Galaxy S24,Technology,Phones,264357.49,4,39653.25,Home Office,West,"Washington, Seattle"
CA-2025-102887,2022-01-18,HP LaserJet Pro Copier,Technology,Copiers,997317.21,8,349061.48,Consumer,East,"Pennsylvania, Philadelphia"
CA-2022-103208,2022-01-18,Anti-Fatigue Floor Mat,Furniture,Furnishings,11523.72,9,0.0,Home Office,Central,"Illinois, Chicago"
CA-2025-104280,2022-01-18,Scanner & Document Digitizer,Technology,Machines,445132.32,6,22256.45,Consumer,Central,"Texas, Houston"
CA-2025-106512,2022-01-18,Mechanical Keyboard,Technology,Accessories,5630.72,2,937.9,Consumer,Central,"Texas, Houston"
CA-2024-106805,2022-01-18,Colored Cardstock,Office Supplies,Paper,2085.79,1,834.15,Home Office,South,"Tennessee, Nashville"
CA-2023-100467,2022-01-19,Colored Cardstock,Office Supplies,Paper,19057.63,6,7622.72,Corporate,East,"Massachusetts, Boston"
CA-2022-100575,2022-01-19,Folding Chair 4-Pack,Furniture,Chairs,18125.54,1,403.38,Home Office,Central,"Texas, Houston"
CA-2025-100835,2022-01-19,Push Pins Assorted,Office Supplies,Fasteners,1810.23,2,633.29,Consumer,South,"Florida, Miami"
CA-2023-101406,2022-01-19,Xerox WorkCentre,Technology,Copiers,239440.89,1,83804.27,Home Office,East,"Massachusetts, Boston"
CA-2022-104360,2022-01-19,HP LaserJet Pro Copier,Technology,Copiers,421011.69,2,99061.33,Home Office,East,"Pennsylvania, Philadelphia"
CA-2024-105435,2022-01-19,Corner Bookshelf White,Furniture,Bookcases,36492.61,2,-5473.85,Consumer,East,"Pennsylvania, Philadelphia"
CA-2023-105992,2022-01-19,Executive Leather Chair,Furniture,Chairs,18443.43,1,2213.61,Home Office,East,"Massachusetts, Boston"
CA-2025-102783,2022-01-20,Fine Tip Fineliners,Office Supplies,Art,1720.59,2,516.26,Consumer,East,"Pennsylvania, Philadelphia"
CA-2022-102939,2022-01-20,Acrylic Paint Set,Office Supplies,Art,5863.95,3,-2345.58,Corporate,East,"District of Columbia, Washington"
CA-2023-106579,2022-01-20,Heavy Duty D-Ring Binder,Office Supplies,Binders,1053.27,2,473.93,Consumer,West,"Oregon, Portland"
CA-2023-101046,2022-01-21,Anti-Fatigue Floor Mat,Furniture,Furnishings,14837.08,2,2967.25,Consumer,South,"Georgia, Atlanta"
CA-2022-101474,2022-01-21,Scanner & Document Digitizer,Technology,Machines,262317.35,4,13115.66,Consumer,East,"New York, New York City"
CA-2022-103212,2022-01-21,Mesh Task Chair,Furniture,Chairs,64090.11,6,-16479.65,Corporate,East,"District of Columbia, Washington"
CA-2025-104659,2022-01-21,Noise Cancelling Headphones,Technology,Accessories,20786.52,2,3464.42,Consumer,South,"Florida, Miami"
CA-2024-104705,2022-01-21,5-Shelf Oak Bookcase,Furniture,Bookcases,347569.97,8,27805.83,Corporate,South,"Florida, Miami"
CA-2024-106373,2022-01-21,Heavy Duty D-Ring Binder,Office Supplies,Binders,2934.05,2,1035.84,Home Office,East,"District of Columbia, Washington"
CA-2022-100131,2022-01-22,Air Purifier HEPA,Office Supplies,Appliances,36034.45,5,-901.38,Consumer,West,"California, San Francisco"
CA-2022-103393,2022-01-22,Under-bed Storage Organizer,Office Supplies,Storage,3869.46,1,214.97,Corporate,Central,"Michigan, Detroit"
CA-2025-106324,2022-01-22,Drafting Table Adjustable,Furniture,Tables,152939.95,4,-7646.79,Corporate,East,"District of Columbia, Washington"
CA-2023-102631,2022-01-23,Heavy Duty Shredder,Technology,Machines,24007.75,1,-8573.9,Consumer,Central,"Illinois, Chicago"
CA-2025-104264,2022-01-23,Noise Cancelling Headphones,Technology,Accessories,5805.02,1,1451.67,Consumer,East,"Massachusetts, Boston"
CA-2023-105403,2022-01-23,3-Shelf Walnut Bookcase,Furniture,Bookcases,145728.91,5,-45800.23,Corporate,Central,"Michigan, Detroit"
CA-2023-107019,2022-01-23,3D Printer Pro,Technology,Machines,104946.03,5,-94451.51,Home Office,Central,"Texas, Austin"
CA-2025-100837,2022-01-24,Anti-Fatigue Floor Mat,Furniture,Furnishings,6103.82,3,358.56,Consumer,West,"Washington, Seattle"
CA-2023-101838,2022-01-24,Fine Tip Fineliners,Office Supplies,Art,2001.13,1,444.88,Corporate,Central,"Texas, Austin"
CA-2025-102625,2022-01-24,Samsung Galaxy S24,Technology,Phones,46092.39,1,-9877.0,Home Office,East,"New York, New York City"
CA-2025-102660,2022-01-24,Logitech Wireless Mouse,Technology,Accessories,34990.31,5,4116.8,Consumer,Central,"Illinois, Chicago"
CA-2023-103198,2022-01-24,Paper Clips Jumbo,Office Supplies,Fasteners,1812.72,2,634.95,Consumer,Central,"Texas, Houston"
CA-2022-107044,2022-01-24,3-Ring Binder 2-inch,Office Supplies,Binders,2702.48,5,1215.95,Consumer,South,"Georgia, Atlanta"
CA-2022-101309,2022-01-25,Drafting Table Adjustable,Furniture,Tables,18539.71,1,-926.28,Home Office,West,"Washington, Seattle"
CA-2025-104354,2022-01-25,Acrylic Paint Set,Office Supplies,Art,22639.91,7,3995.62,Consumer,West,"California, San Francisco"
CA-2023-105023,2022-01-25,Folding Chair 4-Pack,Furniture,Chairs,26027.14,1,3123.29,Home Office,South,"Georgia, Atlanta"
CA-2023-106128,2022-01-25,Executive Leather Chair,Furniture,Chairs,82181.62,3,-8218.66,Home Office,South,"Tennessee, Nashville"
CA-2022-106744,2022-01-25,Metal Frame Bookshelf,Furniture,Bookcases,130027.8,4,10402.39,Home Office,West,"Oregon, Portland"
CA-2024-106944,2022-01-25,Scanner & Document Digitizer,Technology,Machines,40265.79,1,2012.75,Consumer,South,"North Carolina, Charlotte"
CA-2025-107485,2022-01-25,LED Desk Lamp,Furniture,Furnishings,11716.28,5,-7030.1,Corporate,East,"Pennsylvania, Philadelphia"
CA-2025-100724,2022-01-26,Noise Cancelling Headphones,Technology,Accessories,4058.7,1,-290.5,Consumer,West,"California, San Francisco"
CA-2023-100921,2022-01-26,Folding Chair 4-Pack,Furniture,Chairs,85991.32,9,10318.56,Corporate,Central,"Michigan, Detroit"
CA-2023-102084,2022-01-27,Colored Cardstock,Office Supplies,Paper,1061.57,2,424.96,Consumer,South,"Tennessee, Nashville"
CA-2022-103169,2022-01-27,Colored Cardstock,Office Supplies,Paper,2456.8,5,982.72,Consumer,West,"California, Los Angeles"
CA-2022-103640,2022-01-27,Conference Room Table,Furniture,Tables,33186.72,1,-1659.17,Consumer,East,"District of Columbia, Washington"
CA-2025-103668,2022-01-27,Metal Frame Bookshelf,Furniture,Bookcases,62216.8,3,-1381.95,Home Office,Central,"Texas, Houston"
CA-2022-106799,2022-01-27,Compact Office Refrigerator,Office Supplies,Appliances,36792.24,4,6622.57,Corporate,South,"Florida, Miami"
CA-2023-106903,2022-01-27,Label Printer XL,Technology,Machines,47416.24,1,2370.48,Consumer,West,"Washington, Seattle"
CA-2023-100069,2022-01-28,Heavy Duty Shredder,Technology,Machines,509367.68,5,-28298.02,Consumer,East,"Massachusetts, Boston"
CA-2025-104532,2022-01-28,Drafting Table Adjustable,Furniture,Tables,88313.66,7,-4415.6,Corporate,Central,"Texas, Houston"
CA-2022-104980,2022-01-28,Executive Leather Chair,Furniture,Chairs,16420.72,2,1970.42,Corporate,South,"Florida, Miami"
CA-2022-106233,2022-01-28,Paper Clips Jumbo,Office Supplies,Fasteners,3260.24,7,905.53,Corporate,Central,"Texas, Houston"
CA-2022-107309,2022-01-28,USB-C Hub,Technology,Accessories,10955.17,1,2739.0,Corporate,East,"District of Columbia, Washington"
CA-2023-107859,2022-01-28,Paper Clips Jumbo,Office Supplies,Fasteners,237.38,1,16.6,Consumer,South,"North Carolina, Charlotte"
CA-2024-100132,2022-01-29,Clear View Binder,Office Supplies,Binders,801.78,2,-80.51,Consumer,Central,"Michigan, Detroit"
CA-2022-101744,2022-01-29,Fine Tip Fineliners,Office Supplies,Art,12176.93,5,3652.83,Consumer,West,"Oregon, Portland"
CA-2023-102034,2022-01-29,Samsung Galaxy S24,Technology,Phones,107983.83,2,-6748.73,Corporate,South,"Florida, Miami"
CA-2024-103394,2022-01-29,Whiteboard Markers 12-Pack,Office Supplies,Art,446.54,1,133.63,Corporate,Central,"Michigan, Detroit"
CA-2023-104326,2022-01-29,Executive Leather Chair,Furniture,Chairs,7126.38,1,-1831.81,Corporate,South,"Georgia, Atlanta"
CA-2022-105115,2022-01-29,Drafting Table Adjustable,Furniture,Tables,264384.05,4,-13219.41,Home Office,East,"Pennsylvania, Philadelphia"
CA-2022-105649,2022-01-29,Nokia retro phone,Technology,Phones,56293.09,5,-0.0,Consumer,Central,"Texas, Houston"
CA-2022-106547,2022-01-29,Wall Clock Brushed Nickel,Furniture,Furnishings,3407.15,4,-2044.29,Corporate,Central,"Michigan, Detroit"
CA-2023-107638,2022-01-29,Nokia retro phone,Technology,Phones,72200.04,6,-50540.36,Consumer,East,"District of Columbia, Washington"
CA-2023-102066,2022-01-30,3-Ring Binder 2-inch,Office Supplies,Binders,17315.46,10,7792.04,Consumer,Central,"Texas, Houston"
CA-2025-103263,2022-01-30,File Folder Labels,Office Supplies,Labels,832.49,5,118.69,Consumer,Central,"Michigan, Detroit"
CA-2022-104343,2022-01-30,Wall Clock Brushed Nickel,Furniture,Furnishings,1795.29,1,200.03,Consumer,South,"Florida, Miami"
CA-2022-106886,2022-01-30,Standard Staples Box,Office Supplies,Fasteners,5209.91,5,1823.51,Consumer,East,"New York, New York City"
CA-2025-107007,2022-01-30,Premium Copy Paper Letter,Office Supplies,Paper,5376.74,6,768.58,Consumer,South,"Georgia, Atlanta"
CA-2023-101648,2022-01-31,Recycled Printer Paper,Office Supplies,Paper,8827.05,10,-1765.41,Consumer,South,"Florida, Miami"
CA-2023-102597,2022-01-31,3-Shelf Walnut Bookcase,Furniture,Bookcases,35508.23,1,2840.26,Consumer,East,"Massachusetts, Boston"
CA-2023-102694,2022-01-31,Address Labels Roll,Office Supplies,Labels,1948.84,6,779.37,Home Office,South,"Tennessee, Nashville"
CA-2025-100225,2022-02-01,Rubber Bands Asst.,Office Supplies,Fasteners,771.9,1,54.78,Consumer,Central,"Michigan, Detroit"
CA-2023-101564,2022-02-01,Plastic Storage Bins 6-Pack,Office Supplies,Storage,23675.75,2,1315.55,Corporate,Central,"Texas, Austin"
CA-2024-104163,2022-02-01,Air Purifier HEPA,Office Supplies,Appliances,4483.66,1,806.76,Consumer,Central,"Illinois, Chicago"
CA-2024-104737,2022-02-01,Clear View Binder,Office Supplies,Binders,2293.29,3,809.25,Consumer,West,"Oregon, Portland"
CA-2022-105678,2022-02-01,Zipper Binder Portfolio,Office Supplies,Binders,542.82,1,244.02,Home Office,Central,"Texas, Houston"
CA-2023-105685,2022-02-01,Whiteboard Markers 12-Pack,Office Supplies,Art,1318.04,1,-527.88,Home Office,South,"North Carolina, Charlotte"
CA-2022-102565,2022-02-02,Heavy Duty Shelving Unit,Office Supplies,Storage,8901.75,1,-1907.34,Home Office,Central,"Michigan, Detroit"
CA-2024-104099,2022-02-02,Fine Tip Fineliners,Office Supplies,Art,17923.02,7,-0.0,Corporate,South,"North Carolina, Charlotte"
CA-2025-106405,2022-02-02,USB-C Hub,Technology,Accessories,27817.45,3,6954.57,Corporate,East,"Massachusetts, Boston"
CA-2022-106801,2022-02-02,OnePlus 12,Technology,Phones,143314.44,2,21497.0,Consumer,East,"District of Columbia, Washington"
CA-2022-103375,2022-02-03,Heavy Duty D-Ring Binder,Office Supplies,Binders,1739.68,1,543.65,Consumer,South,"Tennessee, Nashville"
CA-2024-103720,2022-02-03,Keurig Coffee Maker,Office Supplies,Appliances,25088.41,1,-4301.06,Corporate,South,"Florida, Miami"
CA-2022-105597,2022-02-03,Logitech Wireless Mouse,Technology,Accessories,36846.19,3,9212.17,Home Office,Central,"Texas, Houston"
CA-2024-102286,2022-02-04,Ergonomic Office Chair,Furniture,Chairs,33280.51,3,3993.96,Consumer,South,"Tennessee, Nashville"
CA-2025-105277,2022-02-04,Corner Bookshelf White,Furniture,Bookcases,17469.01,2,-1438.39,Corporate,Central,"Illinois, Chicago"
CA-2024-106354,2022-02-04,Colored Cardstock,Office Supplies,Paper,2493.32,1,996.83,Consumer,West,"Washington, Seattle"
CA-2023-100130,2022-02-06,Xerox WorkCentre,Technology,Copiers,354141.91,5,98372.43,Home Office,South,"Tennessee, Nashville"
CA-2025-100728,2022-02-06,Logitech Wireless Mouse,Technology,Accessories,45435.03,5,7572.92,Home Office,West,"California, Los Angeles"
CA-2022-106024,2022-02-06,HP LaserJet Pro Copier,Technology,Copiers,522737.32,4,37338.38,Home Office,South,"Tennessee, Nashville"
CA-2024-106035,2022-02-06,Standing Desk Wood,Furniture,Tables,147992.32,4,-73996.16,Corporate,West,"Oregon, Portland"
CA-2023-106837,2022-02-06,HP LaserJet Pro Copier,Technology,Copiers,449379.43,3,32098.59,Consumer,Central,"Texas, Austin"
CA-2022-105993,2022-02-07,Wall Clock Brushed Nickel,Furniture,Furnishings,19668.51,3,2185.39,Corporate,South,"Florida, Miami"
CA-2023-106638,2022-02-07,Xerox WorkCentre,Technology,Copiers,1046309.62,5,246190.45,Corporate,South,"North Carolina, Charlotte"
CA-2023-100549,2022-02-08,Scanner & Document Digitizer,Technology,Machines,33872.3,1,-1881.61,Consumer,South,"Tennessee, Nashville"
CA-2022-100825,2022-02-08,Microwave Oven Stainless Steel,Office Supplies,Appliances,270119.35,7,48621.4,Consumer,South,"Georgia, Atlanta"
CA-2024-105189,2022-02-08,HP LaserJet Pro Copier,Technology,Copiers,381122.72,4,133392.62,Consumer,East,"Massachusetts, Boston"
CA-2023-106158,2022-02-08,Ergonomic Office Chair,Furniture,Chairs,19774.75,2,-15028.81,Corporate,West,"California, Los Angeles"
CA-2025-100900,2022-02-09,Microwave Oven Stainless Steel,Office Supplies,Appliances,74979.71,5,-12853.38,Corporate,West,"California, Los Angeles"
CA-2022-102673,2022-02-09,Anti-Fatigue Floor Mat,Furniture,Furnishings,28483.94,3,5696.29,Consumer,West,"California, San Francisco"
CA-2024-104964,2022-02-09,Standing Desk Wood,Furniture,Tables,65160.81,4,-15331.76,Consumer,South,"Tennessee, Nashville"
CA-2024-105179,2022-02-09,LED Desk Lamp,Furniture,Furnishings,16497.08,3,970.27,Consumer,West,"California, San Francisco"
CA-2024-103173,2022-02-10,3D Printer Pro,Technology,Machines,292714.44,6,14635.39,Consumer,West,"California, San Francisco"
CA-2022-104348,2022-02-10,Keurig Coffee Maker,Office Supplies,Appliances,8436.12,2,750.32,Consumer,Central,"Texas, Austin"
CA-2024-105106,2022-02-10,Fine Tip Fineliners,Office Supplies,Art,283.86,1,-113.71,Consumer,South,"North Carolina, Charlotte"
CA-2023-107333,2022-02-10,Bubble Mailers Padded,Office Supplies,Envelopes,4696.14,3,1878.29,Home Office,East,"Pennsylvania, Philadelphia"
CA-2024-107776,2022-02-10,Push Pins Assorted,Office Supplies,Fasteners,2343.09,6,820.04,Corporate,East,"Massachusetts, Boston"
CA-2024-100723,2022-02-11,Push Pins Assorted,Office Supplies,Fasteners,3658.64,4,1015.92,Corporate,South,"Georgia, Atlanta"
CA-2022-101511,2022-02-11,Heavy Duty Shelving Unit,Office Supplies,Storage,10052.13,2,0.83,Consumer,South,"Florida, Miami"
CA-2024-100449,2022-02-12,Leather Laptop Sleeve,Technology,Accessories,61431.62,9,10238.05,Corporate,East,"District of Columbia, Washington"
CA-2023-102349,2022-02-12,Push Pins Assorted,Office Supplies,Fasteners,1147.06,2,317.89,Home Office,South,"Tennessee, Nashville"
CA-2022-103019,2022-02-12,Clear View Binder,Office Supplies,Binders,1059.08,4,226.59,Consumer,Central,"Texas, Houston"
CA-2022-104640,2022-02-12,Nokia retro phone,Technology,Phones,78272.32,2,4348.37,Consumer,Central,"Michigan, Detroit"
CA-2023-106351,2022-02-12,Keurig Coffee Maker,Office Supplies,Appliances,33312.05,1,2961.44,Home Office,East,"New York, New York City"
CA-2022-101426,2022-02-13,Compact Office Refrigerator,Office Supplies,Appliances,13313.2,2,2396.21,Consumer,East,"New York, New York City"
CA-2025-101572,2022-02-13,Folding Chair 4-Pack,Furniture,Chairs,110836.54,6,2463.44,Consumer,West,"Oregon, Portland"
CA-2024-102922,2022-02-13,Under-bed Storage Organizer,Office Supplies,Storage,4886.21,1,-305.44,Consumer,East,"New York, New York City"
CA-2022-103410,2022-02-13,Executive Leather Chair,Furniture,Chairs,15731.82,1,1887.42,Consumer,East,"Pennsylvania, Philadelphia"
CA-2022-104952,2022-02-13,Logitech Wireless Mouse,Technology,Accessories,23657.49,2,5913.75,Corporate,East,"Pennsylvania, Philadelphia"
CA-2025-106670,2022-02-13,HP LaserJet Pro Copier,Technology,Copiers,162615.26,1,38262.17,Corporate,Central,"Texas, Austin"
CA-2022-103869,2022-02-14,Heavy Duty D-Ring Binder,Office Supplies,Binders,2412.81,2,753.64,Consumer,Central,"Texas, Austin"
CA-2023-104290,2022-02-14,Heavy Duty Shelving Unit,Office Supplies,Storage,54736.01,3,3041.12,Corporate,West,"California, Los Angeles"
CA-2022-101281,2022-02-15,Coffee Table Modern,Furniture,Tables,261723.9,4,-13086.61,Consumer,South,"Georgia, Atlanta"
CA-2023-104387,2022-02-15,Standing Desk Wood,Furniture,Tables,150652.47,8,-7533.08,Consumer,West,"Oregon, Portland"
CA-2022-101845,2022-02-16,5-Shelf Oak Bookcase,Furniture,Bookcases,128573.64,3,10285.36,Corporate,South,"Georgia, Atlanta"
CA-2023-102225,2022-02-16,Catalog Envelopes 100-Count,Office Supplies,Envelopes,2682.56,3,1073.19,Home Office,West,"Washington, Seattle"
CA-2024-105825,2022-02-16,Wall Clock Brushed Nickel,Furniture,Furnishings,8979.77,2,528.71,Corporate,Central,"Illinois, Chicago"
CA-2022-106763,2022-02-16,Heavy Duty Shredder,Technology,Machines,318646.13,3,15931.85,Corporate,East,"District of Columbia, Washington"
CA-2023-107345,2022-02-16,Paper Clips Jumbo,Office Supplies,Fasteners,3803.06,8,712.97,Home Office,Central,"Texas, Houston"
CA-2022-104770,2022-02-17,3D Printer Pro,Technology,Machines,46220.21,1,2311.55,Consumer,East,"Pennsylvania, Philadelphia"
CA-2022-106011,2022-02-17,Wall Clock Brushed Nickel,Furniture,Furnishings,8511.65,2,1702.33,Corporate,Central,"Illinois, Chicago"
CA-2024-106839,2022-02-17,Noise Cancelling Headphones,Technology,Accessories,66271.35,9,16567.63,Consumer,East,"District of Columbia, Washington"
